  skipping invalid sequence (chars=['N'])
Batch 113/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 114/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 115/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 116/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 117/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 118/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 119/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 120/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 121/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 122/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 123/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 124/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 125/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 126/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 127/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 128/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 129/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 130/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 131/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 132/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 133/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 134/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 135/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 136/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 137/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 138/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 139/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 140/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 141/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 142/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 143/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 144/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 145/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 146/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 147/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 148/466: RSS 123.6 -> 121.8 MB after gc (baseline 125.7 MB, +-3.8 MB)
Batch 149/466: RSS 121.8 -> 121.8 MB after gc (baseline 125.7 MB, +-3.8 MB)
Batch 150/466: RSS 121.8 -> 121.8 MB after gc (baseline 125.7 MB, +-3.8 MB)
Batch 151/466: RSS 121.8 -> 121.8 MB after gc (baseline 125.7 MB, +-3.8 MB)
Batch 152/466: RSS 121.8 -> 109.2 MB after gc (baseline 125.7 MB, +-16.5 MB)
Batch 153/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 154/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 155/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 156/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
