Batch 102/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 103/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 104/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 105/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 106/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 107/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 108/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 109/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 110/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 111/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 112/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 113/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 114/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 115/1198: RSS 123.5 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 116/1198: RSS 110.1 -> 110.0 MB after gc (baseline 128.3 MB, +-18.3 MB)
Batch 117/1198: RSS 110.0 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 118/1198: RSS 110.1 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 119/1198: RSS 110.1 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 120/1198: RSS 110.1 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 121/1198: RSS 110.1 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 122/1198: RSS 110.1 -> 110.1 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 123/1198: RSS 110.1 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 124/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 125/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 126/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 127/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 128/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 129/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 130/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 131/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 132/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 133/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 134/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
